Sequence Length	Count of Sequences with Length
384	1
385	8
386	4
258	1
388	2
261	1
390	2
393	3
394	1
266	1
395	2
396	1
399	2
400	1
403	2
534	1
278	1
407	1
536	1
280	1
281	1
283	1
412	1
285	1
286	1
415	2
543	1
290	1
292	1
306	1
307	1
310	1
311	2
312	3
314	1
444	1
322	1
327	2
328	1
334	1
335	1
336	1
351	2
223	1
227	1
356	1
360	2
361	15
362	39
363	84
364	113
365	4584
366	226
367	2554
368	642
369	5305
370	1907
371	8680
372	4683
373	299
374	22
375	11
376	16
377	25
378	6
379	9
380	4
252	2
381	1
382	4
